Version,LineCount,Threads,Run,TaskClock,Cycles,Instructions,CacheMisses,ContextSwitches,MinorFaults,MajorFaults,ElapsedTime,CPUUtilization,MaxRSS,MaxCharTime
V0,1000,8,1,12.12,18887859,19051892,15838,0,492,0,0.006265753,24.18,11040,0.001439
V0,1000,8,10,11.17,17206993,18400203,15497,0,490,0,0.005793883,24.10,11040,0.001346
V0,1000,8,2,10.66,16987809,18277619,15628,0,489,0,0.005410054,24.63,10880,0.001299
V0,1000,8,3,10.75,16816153,18329259,15625,0,491,0,0.005255272,25.57,10880,0.000855
V0,1000,8,4,10.46,15936983,17961979,15610,0,490,0,0.005449205,23.99,11200,0.001221
V0,1000,8,5,10.43,16435117,18131566,15527,0,489,0,0.005425775,24.03,10880,0.001252
V0,1000,8,6,11.15,17039590,18116446,15693,0,490,0,0.005952699,23.41,11040,0.001319
V0,1000,8,7,10.44,16431504,18214231,15640,0,490,0,0.005510821,23.68,11200,0.001237
V0,1000,8,8,11.30,16492552,18066322,15553,0,492,0,0.005678326,24.88,11200,0.001298
V0,1000,8,9,11.57,18294542,18929698,15547,0,491,0,0.005829674,24.81,11040,0.001410
V1,1000000,1,1,2840.43,6885511514,26753252012,53797202,0,418504,0,2.842264358,99.94,1689808,0.824108
V1,1000000,1,10,2598.43,6653088407,26753250930,53833907,0,418501,0,2.599650639,99.95,1689644,0.780852
V1,1000000,1,2,2601.11,6650469255,26753250939,53827941,0,418503,0,2.601914408,99.97,1689808,0.780796
V1,1000000,1,3,2697.14,6884029988,26753251095,53767825,0,418503,0,2.697990230,99.97,1689808,0.824365
V1,1000000,1,4,2605.89,6660563588,26753250994,53825823,0,418502,0,2.606740729,99.97,1689804,0.782695
V1,1000000,1,5,2703.77,6877500799,26753251060,53793879,0,418503,0,2.705178031,99.95,1689804,0.823431
V1,1000000,1,6,2595.60,6654360034,26753250941,53831504,0,418502,0,2.596391553,99.97,1689808,0.782763
V1,1000000,1,7,2705.53,6869658590,26753250999,53790554,0,418502,0,2.707075973,99.94,1689808,0.824093
V1,1000000,1,8,2595.59,6654446473,26753250928,53827298,0,418500,0,2.596366166,99.97,1689648,0.781696
V1,1000000,1,9,2702.80,6883432210,26753251044,53799099,0,418503,0,2.704490092,99.94,1689808,0.825328
V1,1000000,16,1,3172.09,7472359369,26822051581,51948296,0,418537,0,1.891425989,10.48,1689440,0.085519
V1,1000000,16,10,3246.20,7596819028,26819103279,51800932,0,418536,0,1.968606389,10.31,1689276,0.085478
